Bioguide ID,Name,Chamber,Party,State,District,Term Start,Age,Birthdate,Education,Previous Professions,Total Receipts,Total Disbursements,Main Funding Sources,Policy Focus & Platforms,Projected/Historical Voting Alignment,Committee Assignments,Estimated Net Worth,Term End Date,Status
C000127,Maria Cantwell,Senate,Democrat,WA,Unknown,2025-01-03,67,1958-10-13,"Bachelor of Arts in Public Administration, Miami University","Public relations consultant, Political campaign staffer, Technology company executive",789840.99,1264252.49,Individual/PAC contributions,"Technology, privacy, and telecommunications, Environmental conservation and clean energy, Consumer protection and commerce",DW-NOMINATE: -0.31 (Moderate Democrat) • ~89% Party Loyalty,"Joint Committee on Taxation; Senate Committee on Commerce, Science, and Transportation; Senate Committee on Energy and Natural Resources; Senate Committee on Finance; Senate Committee on Indian Affairs; Senate Committee on Small Business and Entrepreneurship","$4,213,505",2031-01-03,Active Member
K000367,Amy Klobuchar,Senate,Democrat,MN,Unknown,2025-01-03,66,1960-05-25,Juris Doctor (J.D.) from the University of Chicago Law School,"Private practice attorney, Corporate law firm partner",2516029.34,3095885.42,Individual/PAC contributions,"Antitrust regulation and consumer protection, Voting rights and election security, Agriculture and rural infrastructure",DW-NOMINATE: -0.28 (Moderate Democrat) • ~88% Party Loyalty,"Joint Committee of Congress on the Library; Joint Economic Committee; Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Commerce, Science, and Transportation; Senate Committee on Rules and Administration; Senate Committee on the Judiciary","$681,014",2031-01-03,Active Member
S000033,Bernard Sanders,Senate,Independent,VT,Unknown,2025-01-03,84,1941-09-08,Unknown,Public service,332845.0,331284.0,Individual/PAC contributions,General legislative priorities,DW-NOMINATE: -0.55 (Solidly Progressive) • ~96% Party Loyalty,"Senate Committee on Environment and Public Works (Subcommittee); Senate Committee on Health, Education, Labor, and Pensions (Subcommittee); Senate Committee on Environment and Public Works; Senate Committee on Finance; Senate Committee on Health, Education, Labor, and Pensions; Senate Committee on Veterans' Affairs; Senate Committee on the Budget","$308,005",2031-01-03,Active Member
W000802,Sheldon Whitehouse,Senate,Democrat,RI,Unknown,2025-01-03,70,1955-10-20,Juris Doctor (J.D.) from the University of Virginia School of Law,Attorney,6587257.0,6428954.0,Individual/PAC contributions,"Climate change and environmental protection, Campaign finance reform and dark money in politics, Judicial reform and ethics",DW-NOMINATE: -0.34 (Moderate Democrat) • ~90% Party Loyalty,Commission on Security and Cooperation in Europe; Senate Committee on Environment and Public Works (Subcommittee); Senate Committee on Environment and Public Works; Senate Committee on Finance; Senate Committee on the Budget; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,"$8,311,113",2031-01-03,Active Member
B001261,John Barrasso,Senate,Republican,WY,Unknown,2025-01-03,74,1952-07-21,"Doctor of Medicine (M.D.), Georgetown University School of Medicine",Orthopedic surgeon and President of the Wyoming Medical Society,658939.0,658939.0,Individual/PAC contributions,"Energy independence and fossil fuel production, Healthcare reform and opposition to the Affordable Care Act, Fiscal conservatism and reducing federal spending",DW-NOMINATE: +0.54 (Solidly Conservative) • ~96% Party Loyalty,Senate Committee on Energy and Natural Resources (Subcommittee); Senate Committee on Energy and Natural Resources; Senate Committee on Finance; Senate Committee on Foreign Relations,"$6,137,509",2031-01-03,Active Member
W000437,Roger Wicker,Senate,Republican,MS,Unknown,2025-01-03,75,1951-07-05,"Juris Doctor (J.D.), University of Mississippi School of Law",Attorney in private practice and U.S. Air Force Judge Advocate General's (JAG) Corps officer,286732.42,828009.14,Individual/PAC contributions,"National Defense and Military Readiness, Infrastructure and Telecommunications Development, Economic Growth and Job Creation",DW-NOMINATE: +0.38 (Moderate Republican) • ~91% Party Loyalty,"Commission on Security and Cooperation in Europe; Senate Committee on Armed Services (Subcommittee); Senate Committee on Environment and Public Works (Subcommittee); Senate Committee on Armed Services; Senate Committee on Commerce, Science, and Transportation; Senate Committee on Environment and Public Works; Senate Committee on Rules and Administration; Senate Select Committee on Intelligence","$299,508",2031-01-03,Active Member
C001035,Susan Collins,Senate,Republican,ME,Unknown,2021-01-03,73,1952-12-07,"Bachelor of Arts in Government, Bowdoin College",Congressional staffer and state government administrator,1721825.0,1621475.0,Individual/PAC contributions,"Healthcare and medical research, Bipartisan compromise and government oversight, National security and homeland security",DW-NOMINATE: +0.12 (Moderate Republican) • ~83% Party Loyalty,"Senate Committee on Appropriations (Subcommittee); Senate Committee on Health, Education, Labor, and Pensions (Subcommittee); Senate Committee on Appropriations; Senate Committee on Health, Education, Labor, and Pensions; Senate Select Committee on Intelligence","$205,002",2027-01-03,Active Member
C001056,John Cornyn,Senate,Republican,TX,Unknown,2021-01-03,74,1952-02-02,"Master of Laws (LL.M.), University of Virginia School of Law",Attorney in private practice,14261513.59,14352854.31,Individual/PAC contributions,"Border security and immigration enforcement, Judicial nominations and constitutional conservatism, National security and defense",DW-NOMINATE: +0.47 (Solidly Conservative) • ~94% Party Loyalty,Joint Committee on Taxation; Senate Committee on Finance; Senate Committee on Foreign Relations; Senate Committee on the Budget; Senate Committee on the Judiciary; Senate Select Committee on Intelligence; United States Senate Caucus on International Narcotics Control,"$423,510",2027-01-03,Defeated in 2026 Primary
D000563,Richard Durbin,Senate,Democrat,IL,Unknown,2021-01-03,81,1944-11-21,Juris Doctor (J.D.) from Georgetown University Law Center,Attorney in private practice and legal counsel to state government officials,2377381.05,2452334.88,Individual/PAC contributions,"Criminal justice reform, Immigration reform and the DREAM Act, Healthcare access and consumer protection",DW-NOMINATE: -0.34 (Moderate Democrat) • ~90% Party Loyalty,"Senate Committee on Appropriations (Subcommittee); Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Appropriations; Senate Committee on the Judiciary",N/A (No net worth disclosure provided in sources),2027-01-03,Active Member
M000355,Mitch McConnell,Senate,Republican,KY,Unknown,2021-01-03,84,1942-02-20,Juris Doctor (J.D.) from the University of Kentucky College of Law,"Attorney, Congressional Staffer, and Deputy Assistant Attorney General",248495.0,35909.0,Individual/PAC contributions,"Judicial appointments and conservative court confirmations, Fiscal conservatism and tax reform, National security and foreign defense",DW-NOMINATE: +0.40 (Solidly Conservative) • ~92% Party Loyalty,"Joint Committee of Congress on the Library; Joint Committee on Printing; Senate Committee on Appropriations (Subcommittee); Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Appropriations; Senate Committee on Rules and Administration","$27,306,524",2027-01-03,Retiring in 2026
M001176,Jeff Merkley,Senate,Democrat,OR,Unknown,2021-01-03,69,1956-10-24,Unknown,Public service,7893849.32,4871006.77,Individual/PAC contributions,General legislative priorities,DW-NOMINATE: -0.45 (Solidly Progressive) • ~93% Party Loyalty,Joint Committee on Printing; Senate Committee on Appropriations (Subcommittee); Senate Committee on Environment and Public Works (Subcommittee); Senate Committee on Appropriations; Senate Committee on Environment and Public Works; Senate Committee on Foreign Relations; Senate Committee on Rules and Administration; Senate Committee on the Budget,"$1,900,511",2027-01-03,Active Member
