Bioguide ID,Name,Chamber,Party,State,District,Term Start,Age,Birthdate,Education,Previous Professions,Total Receipts,Total Disbursements,Main Funding Sources,Policy Focus & Platforms,Projected/Historical Voting Alignment,Committee Assignments,Estimated Net Worth,Term End Date,Status
A000055,Robert Aderholt,House,Republican,AL,District 4,2025-01-03,61.0,1965-07-22,Juris Doctor (J.D.) from Cumberland School of Law at Samford University,Attorney in private practice and Haleyville Municipal Judge,1022664.06,1239900.72,Individual/PAC contributions,"Fiscal conservatism and federal appropriations, Social conservatism, including pro-life advocacy and religious liberty, Agriculture, infrastructure, and rural economic development",DW-NOMINATE: +0.41 (Solidly Conservative) • ~92% Party Loyalty,House Committee on Appropriations,"$3,161,009",2027-01-03,
B001257,Gus Bilirakis,House,Republican,FL,District 12,2025-01-03,63.0,1963-02-08,Juris Doctor (J.D.) from Stetson University College of Law,"Attorney specializing in probate and estate planning, College instructor",1588537.71,1155884.74,Individual/PAC contributions,"Veterans' affairs and benefits, Healthcare access and rare disease research, Consumer protection and telecommunications",DW-NOMINATE: +0.42 (Solidly Conservative) • ~92% Party Loyalty,House Committee on Energy and Commerce; House Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party,"$605,517",2027-01-03,
B000490,Sanford Bishop,House,Democrat,GA,District 2,2025-01-03,79.0,1947-02-04,Juris Doctor (J.D.) from Emory University School of Law,Attorney in private practice,1126529.96,861582.99,Individual/PAC contributions,"Agriculture and Rural Development, Veterans and Military Affairs, National Defense and Security",DW-NOMINATE: -0.29 (Moderate Democrat) • ~88% Party Loyalty,House Committee on Appropriations,"$40,504",2027-01-03,
B001260,Vern Buchanan,House,Republican,FL,District 16,2025-01-03,75.0,1951-05-08,Master of Business Administration (MBA) from the University of Detroit,"Businessman and entrepreneur, notably founding the Buchanan Automotive Group",929859.45,983349.77,Individual/PAC contributions,"Tax reform and economic growth, Animal welfare advocacy, Veterans' healthcare and benefits",DW-NOMINATE: +0.36 (Moderate Republican) • ~90% Party Loyalty,House Committee on Ways and Means; Joint Committee on Taxation,N/A (No net worth disclosure provided in sources),2027-01-03,
C000059,Ken Calvert,House,Republican,CA,District 41,2025-01-03,73.0,1953-06-08,"Bachelor of Arts in Economics, San Diego State University",Real estate broker and business owner,6142469.38,4907603.65,Individual/PAC contributions,"Defense and National Security, Infrastructure and Transportation, Water Resources and Security",DW-NOMINATE: +0.34 (Moderate Republican) • ~90% Party Loyalty,House Committee on Appropriations,"$3,900,002",2027-01-03,
C001072,André Carson,House,Democrat,IN,District 7,2025-01-03,51.0,1974-10-16,Master of Science in Business Management from Indiana Wesleyan University,Law enforcement officer (Indiana State Excise Police) and intelligence analyst (Indiana Department of Homeland Security),1006176.73,834249.21,Individual/PAC contributions,"National Security and Intelligence, Civil Rights and Social Justice, Infrastructure and Transportation",DW-NOMINATE: -0.43 (Solidly Progressive) • ~93% Party Loyalty,House Committee on Transportation and Infrastructure; House Permanent Select Committee on Intelligence; House Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party,N/A (No net worth disclosure provided in sources),2027-01-03,
C001051,John Carter,House,Republican,TX,District 31,2025-01-03,84.0,1941-11-06,"Texas Tech University (BA), University of Texas School of Law (JD)",Public service,1419042.42,1289653.97,Individual/PAC contributions,General legislative priorities,DW-NOMINATE: +0.49 (Solidly Conservative) • ~94% Party Loyalty,House Committee on Appropriations,"$2,759,999",2027-01-03,
C001066,Kathy Castor,House,Democrat,FL,District 14,2025-01-03,59.0,1966-08-20,Juris Doctor (J.D.) from Florida State University College of Law,Attorney specializing in environmental and land use law,2337125.13,819132.0,Individual/PAC contributions,"Climate change mitigation and environmental protection, Healthcare access and affordability, Consumer protection and children's online privacy",DW-NOMINATE: -0.43 (Solidly Progressive) • ~93% Party Loyalty,House Committee on Energy and Commerce; House Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party,"$1,545,529",2027-01-03,
C001080,Judy Chu,House,Democrat,CA,District 28,2025-01-03,73.0,1953-07-07,Ph.D. in Clinical Psychology from the California School of Professional Psychology,College Psychology Professor and Clinical Psychologist,930123.25,857831.85,Individual/PAC contributions,"Civil Rights and Asian American Pacific Islander (AAPI) Advocacy, Women's Reproductive Rights and Healthcare Access, Small Business Support and Economic Opportunity",DW-NOMINATE: -0.48 (Solidly Progressive) • ~94% Party Loyalty,House Committee on Ways and Means; House Committee on the Budget,N/A (No net worth disclosure provided in sources),2027-01-03,
C001067,Yvette Clarke,House,Democrat,NY,District 9,2025-01-03,61.0,1964-11-21,"Bachelor of Science, Medgar Evers College","Community Organizer, Director of Youth Services for the NYC Department of Youth and Community Development, Legislative Aide",1013953.29,1093029.88,Individual/PAC contributions,"Technology, Cybersecurity, and Digital Equity, Immigration Reform and Pathway to Citizenship, Healthcare Access and Women's Health",DW-NOMINATE: -0.61 (Solidly Progressive) • ~98% Party Loyalty,House Committee on Energy and Commerce,"$105,003",2027-01-03,
