Name,Chamber,Office / District,Party,Status,Projected Start,Campaign Receipts,Campaign Disbursements,Main Funding Sources,Core Campaigning Issues & Platform Focus,Age,Birthdate,Education,Previous Professions,Historical Committee Assignments (If any),Projected/Historical Voting Alignment,Estimated Net Worth,Upcoming 2026 Primary
Alex Vindman,Senate (Candidate),FL,Democrat,Special Election Challenger / US Army Veteran,"Jan. 3, 2027 (If elected)",14595387,7288082,"National Progressive Networks, Grassroots Small-Dollar Donors, Veterans PACs","National security, defense industrial base, democratic institutional norms, veterans' healthcare",51,1975-06-06,"SUNY Binghamton (BA), Harvard (MA), Johns Hopkins (MAIA, DIA)","US Army Lt. Colonel, NSC Director for European and Russian Affairs, Author",None (Candidate),95% Democratic / 5% Republican (Projected),"$1,000,000 - $2,000,000 (Based on military pension and consulting assets)",True
Brian Kemp,Senate (Candidate),GA,Republican,Challenger / Current Governor,"Jan. 3, 2027 (If elected)",22000000,16500000,"Georgia Business Coalitions, National Republican Donors, Agricultural & Banking PACs","Economic development and job growth, state tax cuts, regulatory delegation, supply chain strengthening",62,1963-11-02,University of Georgia (BS in Agriculture),"Governor of Georgia, Georgia Secretary of State, State Senator, Agribusiness Owner",None (Candidate),Projected ~96%-99% Republican (Mainstream Conservative),"$8,000,000 - $15,000,000 (Based on state executive financial disclosures, real estate & banking)",True
Chris Sununu,Senate (Candidate),NH,Republican,Open Seat Candidate / Former Governor,"Jan. 3, 2027 (If elected)",12800000,8900000,"Moderate Republican Networks, New England Business Coalitions, Individual Contributors","Fiscal discipline and balanced budgets, energy market competition, local control in education, addiction recovery support",51,1974-11-05,Massachusetts Institute of Technology (BS in Civil/Environmental Engineering),"Governor of New Hampshire, Executive Councilor, Environmental Engineer, Resort CEO",None (Candidate),Projected ~93%-97% Republican (Fiscal Conservative / Moderate),"$3,500,000 - $8,000,000 (Based on resort equity, engineering career, and state disclosures)",True
TBD - Runoff Winner,Senate (Candidate),OK,Democrat,Upcoming Primary Runoff,"Jan. 3, 2027 (If elected)",Unknown,Unknown,"Oklahoma Democratic Grassroots, Individual Contributors","Oklahoma Democratic platform priorities: rural healthcare access, public school funding, infrastructure investment",Unknown,2026 Primary Runoff,Pending primary runoff certification,Nominee Candidate,None (Candidate),Projected ~95% Democratic (Party Nominee),TBD upon nominee financial disclosure filing,True
Republican Nominee,Senate (Candidate),AK,Republican,Upcoming Primary Candidate,"Jan. 3, 2027 (If elected)",Unknown,Unknown,"Alaska Republican Networks, Resource Development PACs","Arctic energy development, resource extraction, national defense positioning, infrastructure expansion",Unknown,2026 Primary,Pending primary certification,Nominee Candidate,None (Candidate),Projected ~96%-99% Republican,TBD upon nominee financial disclosure filing,True
Republican Nominee,Senate (Candidate),DE,Republican,Upcoming Primary Candidate,"Jan. 3, 2027 (If elected)",Unknown,Unknown,"Delaware Republican Networks, Business Coalitions","Corporate tax competitiveness, regulatory reform, fiscal responsibility, coastal infrastructure",Unknown,2026 Primary,Pending primary certification,Nominee Candidate,None (Candidate),Projected ~96%-99% Republican,TBD upon nominee financial disclosure filing,True
Democratic Nominee,Senate (Candidate),FL,Democrat,Upcoming Primary Candidate,"Jan. 3, 2027 (If elected)",Unknown,Unknown,"Florida Democratic Grassroots, National Democratic Networks","Property insurance crisis reform, healthcare access expansion, Everglades restoration, reproductive freedom",Unknown,2026 Primary,Pending primary certification,Nominee Candidate,None (Candidate),Projected ~95%-98% Democratic,TBD upon nominee financial disclosure filing,True
Republican Nominee,Senate (Candidate),MA,Republican,Upcoming Primary Candidate,"Jan. 3, 2027 (If elected)",Unknown,Unknown,"Massachusetts Republican Networks, New England Business Coalitions","Cost of living reduction, state economic competitiveness, fiscal accountability, energy grid modernization",Unknown,2026 Primary,Pending primary certification,Nominee Candidate,None (Candidate),Projected ~95%-98% Republican,TBD upon nominee financial disclosure filing,True
Republican Nominee,Senate (Candidate),NH,Republican,Upcoming Primary Candidate,"Jan. 3, 2027 (If elected)",Unknown,Unknown,"New Hampshire Republican Networks, Small Business Coalitions","Live Free or Die fiscal principles, opposition to broad-based taxes, energy affordability, local school control",Unknown,2026 Primary,Pending primary certification,Nominee Candidate,None (Candidate),Projected ~95%-98% Republican,TBD upon nominee financial disclosure filing,True
Republican Nominee,Senate (Candidate),RI,Republican,Upcoming Primary Candidate,"Jan. 3, 2027 (If elected)",Unknown,Unknown,"Rhode Island Republican Networks, Small Business Donors","Economic growth, regulatory modernization, bridge and port infrastructure accountability, fiscal balance",Unknown,2026 Primary,Pending primary certification,Nominee Candidate,None (Candidate),Projected ~95%-98% Republican,TBD upon nominee financial disclosure filing,True
Democratic Nominee,Senate (Candidate),WY,Democrat,Upcoming Primary Candidate,"Jan. 3, 2027 (If elected)",Unknown,Unknown,"Wyoming Democratic Grassroots, Conservation Allies","Public lands protection, clean energy transition worker support, rural healthcare access, public education",Unknown,2026 Primary,Pending primary certification,Nominee Candidate,None (Candidate),Projected ~95% Democratic,TBD upon nominee financial disclosure filing,True
Democratic Nominee,Senate (Candidate),SC,Democrat,Upcoming Primary Candidate,"Jan. 3, 2027 (If elected)",Unknown,Unknown,"South Carolina Democratic Party, Grassroots Contributors","Public school teacher pay, rural healthcare infrastructure, voting access, economic investment",Unknown,2026 Primary,Pending primary certification,Nominee Candidate,None (Candidate),Projected ~95% Democratic,TBD upon nominee financial disclosure filing,True
