Name,Chamber,Office / District,Party,Status,Projected Start,Campaign Receipts,Campaign Disbursements,Main Funding Sources,Core Campaigning Issues & Platform Focus,Age,Birthdate,Education,Previous Professions,Historical Committee Assignments (If any),Projected/Historical Voting Alignment,Estimated Net Worth,Upcoming 2026 Primary
Sherrod Brown,Senate (Candidate),Ohio (Special Election),Democrat,Challenger / Former Incumbent,"Jan. 3, 2027 (If elected)",14356451,4456809,"Pro-Labor Organizations, Financial/Insurance Sector Employees ($471,124)","Financial regulation, consumer insurance protection, industrial trade protections, labor rights",73,1952-11-09,"Yale University (BA), Ohio State University (MA, MPA)","State representative, Ohio Secretary of State","Banking, Housing, and Urban Affairs (Former Chairman); Finance",97% Democratic / 3% Republican (Historical Record),"$1,000,000 - $2,500,000 (Based on investment & real estate)",False
Roy Cooper,Senate (Candidate),North Carolina (Open Seat),Democrat,Open Seat Candidate / Former Governor,"Jan. 3, 2027 (If elected)",26429887,31400000 (SMP PAC),"State Party Transfers, National Progressive Networks, Individual Donors","Clean energy jobs, public education funding, expansion of Medicaid, climate infrastructure resilience",69,1957-06-13,"UNC Chapel Hill (BA, JD)","Private attorney, state legislator, NC Attorney General, Governor",None (Candidate),96% Democratic / 4% Republican (Projected),"$1,500,000 - $3,000,000 (Based on executive career asset disclosures)",False
Michael Whatley,Senate (Candidate),North Carolina (Open Seat),Republican,Open Seat Candidate / Former RNC Chair,"Jan. 3, 2027 (If elected)",11272504,7810806,"National Republican Donor Networks, Energy Sector Pacs","Domestic energy independence, regulatory burden reduction, border security, corporate tax reform",58,1968 (Exact date unknown),"Wake Forest University (BA), University of Notre Dame (JD, MA)","Sen. Elizabeth Dole chief of staff, energy consultant, NCGOP Chair, RNC Chair",None (Candidate),98% Republican / 2% Democratic (Projected),"$2,000,000 - $5,000,000 (Based on consulting and party leadership income)",False
Andy Beshear,Senate (Candidate),Kentucky,Democrat,Potential Challenger / Current Governor,"Jan. 3, 2027 (If elected)",1744000 (In This Together PAC),Unknown,Potential National Progressive Networks,"Healthcare access expansion, public education funding, job creation",48,1977-11-29,"Vanderbilt University (BA), University of Virginia (JD)","Governor of Kentucky, Attorney General of Kentucky, Attorney",None (Candidate),Projected ~95%-99% Democratic (High Cohesion),N/A (No net worth disclosure provided in sources),False
Ken Paxton,Senate (Candidate),Texas,Republican,Potential Primary Challenger,"Jan. 3, 2027 (If elected)",9248699,7492915,"Potential Conservative Pacs, Legal Advocacy Groups","Constitutional conservatism, border security, immigration enforcement",63,1962-12-23,"Baylor University (BA, MBA), University of Virginia (JD)","Attorney General of Texas, State Senator, State Representative, Attorney",None (Candidate),Projected ~95%-99% Republican (High Cohesion),N/A (No net worth disclosure provided in sources),False
Bill Redpath,Senate (Candidate),Ohio (Special Election),Libertarian,Third-Party Candidate,"Jan. 3, 2027 (If elected)",24200,23470,Libertarian Grassroots Contributors,"Libertarian platform, reducing size/scope of government, civil liberties",68,1957 (Exact date unknown),"Indiana University (BS), University of Chicago (MBA)","Financial consultant, CPA",None (Candidate),Independent Libertarian Platform,N/A (No net worth disclosure provided in sources),False
Gregory Levy,Senate (Candidate),Ohio (Special Election),Independent,Independent Candidate,"Jan. 3, 2027 (If elected)",80348,56132,"Independent Donors, Local Grassroots","Bipartisan policy initiatives, local representation, community funding",Unknown,Unknown,Unknown,Business owner,None (Candidate),Independent Platform,N/A (No net worth disclosure provided in sources),False
Brian McGinnis,Senate (Candidate),North Carolina,Green Party,Third-Party Candidate,"Jan. 3, 2027 (If elected)",Unknown,Unknown,Grassroots Contributors (Refuses Corporate Donations),"Anti-war perspective, pro social services, increased education funding, better VA staffing",Unknown,Unknown,Unknown,Military Veteran,None (Candidate),Independent Green Platform,N/A (No net worth disclosure provided in sources),False
Colin Allred,House (Primary Winner),Texas (TX-32),Democrat,Primary Runoff Winner (Defeated Julie Johnson),"Jan. 3, 2027 (If elected)",Unknown,Unknown,"Democratic Pacs, Individual Contributions","Civil rights, voting rights, health care access, economic opportunity",43,1983-05-03,"Baylor University (BA), UC Berkeley School of Law (JD)","NFL Player, Civil Rights Attorney",None (Candidate),Projected ~95%-99% Democratic (High Cohesion),N/A (No net worth disclosure provided in sources),False
Brad Lander,House (Primary Winner),New York (NY-10),Democrat,Primary Winner (Defeated Daniel Goldman),"Jan. 3, 2027 (If elected)",Unknown,Unknown,"Progressive Donor Networks, Labor Unions","Affordable housing, municipal finance oversight, criminal justice reform, climate action",53,1973-07-08,"University of Chicago (BA), Pratt Institute (MUP), LSE (MSc)","NYC Comptroller, City Council Member, Urban Planner",None (Candidate),Projected ~95%-99% Democratic (High Cohesion),N/A (No net worth disclosure provided in sources),False
Steve Toth,House (Primary Winner),Texas (TX-02),Republican,Primary Winner (Defeated Daniel Crenshaw),"Jan. 3, 2027 (If elected)",Unknown,Unknown,"Conservative Pacs, Tea Party Networks","Constitutional conservatism, tax cuts, border security, pro-life advocacy",65,1960-12-14,East Texas Baptist University,"State Representative, Business owner, Pastor",None (Candidate),Projected ~95%-99% Republican (High Cohesion),N/A (No net worth disclosure provided in sources),False
Ed Gallrein,House (Primary Winner),Kentucky (KY-04),Republican,Primary Winner (Defeated Thomas Massie),"Jan. 3, 2027 (If elected)",Unknown,Unknown,Local Agricultural/Business Pacs,"Agricultural support, Second Amendment rights, fiscal responsibility",Unknown,Unknown,Unknown,"Navy SEAL, Farmer",None (Candidate),Projected ~95%-99% Republican (High Cohesion),N/A (No net worth disclosure provided in sources),False
